name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Eva Flyvholm;Q20188888;;FALSCH;;EvaFlyvholm;;WAHR
Eva Kjer Hansen;Q443987;http://commons.wikimedia.org/wiki/Special:FilePath/20181204%20Eva%20Kjer%20Hansen%20Granshindermote%20Folketinget%20Greater%20Copenhagen%20OresundDirekt%200041%20%2845332844785%29%20%28cropped%29.jpg;FALSCH;;EvaKjerHansen;;WAHR
Fatma Øktem;Q12311129;;FALSCH;;fatmaoektem;;WAHR
Dennis Flydtkjær;Q12308261;;FALSCH;;flydtkjaer;;WAHR
Anne Sophie Callesen;Q64439111;;FALSCH;;frkcallesen;;WAHR
Gitte Willumsen;Q106009196;;WAHR;;gittewillumsen1;;WAHR
Hans Christian Schmidt;Q1579014;http://commons.wikimedia.org/wiki/Special:FilePath/Carlsberg%20Station%20opening%2005.jpg;FALSCH;;HaChrSchmidt;;WAHR
Halime O?uz;Q64442264;http://commons.wikimedia.org/wiki/Special:FilePath/Halime%20Oguz%20MARTS%202018%20foto%20William%20Vest-Lilles%C3%B8e.jpg;FALSCH;;Halime9Oguz;;WAHR
Hans Kristian Skibby;Q12315455;http://commons.wikimedia.org/wiki/Special:FilePath/Hans-Kristian-Skibby-DF.jpg;FALSCH;;Hans_Kr_Skibby;;WAHR
Hans Andersen;Q12315227;;FALSCH;;HansAndersenV;;WAHR
Orla Hav;Q12330445;http://commons.wikimedia.org/wiki/Special:FilePath/Elsemette%20Cass%C3%B8e%20-%20Henning%20Toft%20Bro.jpg;FALSCH;;HavOrla;;WAHR
Henrik Møller;Q64441610;;FALSCH;;Henrikm86712011;;WAHR
Magnus Heunicke;Q12325727;http://commons.wikimedia.org/wiki/Special:FilePath/Opening%20of%20Plusway%20-%20Magnus%20Heunicke%2001%20%28cropped%29.JPG;FALSCH;;Heunicke;;WAHR
Henning Hyllested;Q12316231;;WAHR;https://pbs.twimg.com/profile_images/1500594361813381123/VhhyIz9A_normal.jpg;hyllefar;MF, Enhedslisten;WAHR
Ida Auken;Q441594;http://commons.wikimedia.org/wiki/Special:FilePath/Ida%20Auken.2022.jpg;FALSCH;;IdaAuken;;WAHR
Jacob Jensen;Q12318858;;FALSCH;;jacobjensenMF;;WAHR
Jacob Mark;Q18647252;http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Mark%20p%C3%A5%20ChrBorg%20NOV%202018%20Foto%20William%20Vest-Lillesoe%20WEB-9%20%28cropped%29.jpg;FALSCH;;jacobmark_sf;;WAHR
Jakob Ellemann-Jensen;Q12318947;http://commons.wikimedia.org/wiki/Special:FilePath/20200612%20Altinget%20Jakob%20Elleman%20Jensen%20750A4304-2%20%28cropped%29.jpg;FALSCH;;jakobellemann;;WAHR
Jakob Sølvhøj;Q20188895;;FALSCH;;JakobSoelvhoej;;WAHR
Jane Heitmann;Q12319087;;FALSCH;;JaneHeitmann;;WAHR
Jan E. Jørgensen;Q12319014;;FALSCH;;JanEJoergensen;;WAHR
Jan Johansen;Q12319037;;FALSCH;;janjohansen16;;WAHR
Jens Joel;Q12319328;http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Joel%20Nielsen.jpg;FALSCH;;Jens_Joel;;WAHR
Jeppe Bruus;Q12319515;;FALSCH;;JeppeBruus;;WAHR
Brigitte Klintskov Jerkel;Q29227656;;FALSCH;;JerkelK;;WAHR
Jesper Petersen;Q12319657;;FALSCH;;Jesper_Pet;;WAHR
Jonathan Simmel ;Q115618614;;FALSCH;;jonathansimmel;;WAHR
Jens Henrik Thulesen Dahl;Q12319302;http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Henrik%20Thulesen%20Dahl.jpg;FALSCH;;JThulesen;;WAHR
Julie Skovsby;Q12320477;;FALSCH;;JulieSkovsby;;WAHR
Mona Juul;Q64439195;;FALSCH;;JuulMona;;WAHR
Kaare Dybvad Bek;Q20175887;http://commons.wikimedia.org/wiki/Special:FilePath/Kaare%20Dybvad%20Bek%20hos%20%C3%85rsskriftet%20Critique.jpg;FALSCH;;KaareDybvad;;WAHR
Karina Adsbøl;Q12321352;http://commons.wikimedia.org/wiki/Special:FilePath/Karina%20Adsb%C3%B8l%20Valgplakat%20%285965219629%29%20%28cropped%29.jpg;FALSCH;;Karinameldgaard;;WAHR
Kasper Roug;Q22956366;;FALSCH;;KasperRoug;;WAHR
Kathrine Olldag;Q64441511;;FALSCH;;KathrineOlldag;;WAHR
Katrine Robsøe;Q64439092;http://commons.wikimedia.org/wiki/Special:FilePath/Katrine%20Rob%C3%B8e.jpg;FALSCH;;KatrineRobsoe;;WAHR
Kenneth Mikkelsen;Q107355425;;FALSCH;;KD_Mikkelsen;;WAHR
Karsten Hønge;Q12321445;http://commons.wikimedia.org/wiki/Special:FilePath/Karsten%20H%C3%B8nge%20p%C3%A5%20ChrBorg%20NOV%202018%20Foto%20William%20Vest-Lillesoe%20WEB-15.jpg;FALSCH;;khoenge;;WAHR
Kim Valentin;Q17130794;;FALSCH;;kimvalentinDK;;WAHR
Kirsten Normann Andersen;Q12321969;http://commons.wikimedia.org/wiki/Special:FilePath/Kirsten%20Normann%20Andersen%20KBH%20MARTS%202019%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;KirstenNormann;;WAHR
Kristian Pihl Lorentzen;Q12322942;http://commons.wikimedia.org/wiki/Special:FilePath/Kristian%20Pihl%20Lorentzen%20%283%29.jpg;FALSCH;;kplorentzen;;WAHR
Kristian Thulesen Dahl;Q4992021;http://commons.wikimedia.org/wiki/Special:FilePath/Folkemodet%20Kristian%20Thulesen%20Dahl%2020150612%200183%20%2818624719249%29%20%28cropped%29.jpg;FALSCH;;kristianthdahl;;WAHR
Susan Kronborg;Q106009203;;FALSCH;;kronborgsusan;;WAHR
Leif Lahn Jensen;Q12324169;http://commons.wikimedia.org/wiki/Special:FilePath/Leif%20Lahn%20Jensen%20%282022%29.jpg;FALSCH;;LahnLeif;;WAHR
Lars Aslan Rasmussen;Q23782006;;FALSCH;;lars_aslan;;WAHR
Lars Christian Lilleholt;Q6491442;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20Christian%20Lilleholt%20GGS%202017%20%28cropped%29.jpg;WAHR;;larsclilleholt;;WAHR
Lars Løkke Rasmussen;Q182397;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20L%C3%B8kke%20Rasmussen%20-%202018%20%28MUS6631%29%20%28cropped%29.jpg;FALSCH;;larsloekke;;WAHR
Tanja Larsson;Q67954104;;FALSCH;;LarssonTanja;;WAHR
Lars Boje Mathiesen;Q64438308;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20Boje%20Frederikshavn.png;FALSCH;;LBMathiesen;;WAHR
Lea Wermelin;Q20174096;;FALSCH;;leawermelin;;WAHR
Lisbeth Bech Poulsen;Q12324617;http://commons.wikimedia.org/wiki/Special:FilePath/Lisbeth%20Bech%20Poulsen%20i%20Nordjylland%20OKT%202018%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;LisbethBPoulsen;;WAHR
Lise Bech;Q20186502;;FALSCH;;LiseBech;;WAHR
Lotte Rod;Q12324922;;FALSCH;;LotteRod;;WAHR
Louise Schack Elholm;Q12324973;;FALSCH;;LouiseElholm;;WAHR
Mads Fuglede;Q12325612;;FALSCH;;madsfuglede;;WAHR
Mai Villadsen;Q64441614;http://commons.wikimedia.org/wiki/Special:FilePath/Mai%20Villadsen%201.%20maj%202022%20%28cropped%29.jpg;FALSCH;;maivilladsen;;WAHR
Maja Torp;Q106009205;;FALSCH;;MajaTorpAalborg;;WAHR
Malte Larsen;Q29227882;;FALSCH;;maltelarsen;;WAHR
Marcus Knuth;Q20200020;;FALSCH;;MarcusKnuth1;;WAHR
Maria Gudme;Q111816743;;WAHR;https://pbs.twimg.com/profile_images/1395433404666195968/R1jx1b4H_normal.jpg;mariagudme;Regionsrådsmedlem i Region Hovedstaden (S). Initiativtager til #EnBlandtOs og forfatter til “Feministisk kampskrift - mod, magt og metoo” ?? 20304603;WAHR
Marianne Jelved;Q454615;http://commons.wikimedia.org/wiki/Special:FilePath/Marianne-Jelved.jpg;FALSCH;;mariannejelved;;WAHR
Marie Bjerre;Q62056697;;FALSCH;;marie_bjerre;;WAHR
Marie Krarup;Q10853676;;FALSCH;;MarieKrarup;;WAHR
Marlene Ambo-Rasmussen;Q64417364;;FALSCH;;MarleneAmbo;;WAHR
Martin Geertsen;Q6775519;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Geertsen%20i%20K%C3%B8benhavn.jpg;FALSCH;;Martin_Geertsen;;WAHR
Martin Lidegaard;Q1272556;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Lidegaard%2C%202014%20%28cropped%29.jpg;FALSCH;;martinlidegaard;;WAHR
Mattias Tesfaye;Q12326451;http://commons.wikimedia.org/wiki/Special:FilePath/Mattias%20Tesfaye%2020120414.jpg;FALSCH;;mattiastesfaye;;WAHR
Mette Abildgaard;Q18171967;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Abildgaard.jpg;FALSCH;;metteabildgaard;;WAHR
Mette Gjerskov;Q438598;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Gjerskov.jpg;FALSCH;;MetteGjerskov;;WAHR
Karina Lorentzen;Q12321354;http://commons.wikimedia.org/wiki/Special:FilePath/Karina%20Lorentzen%20i%20Sydjylland%20DEC%202018%20Foto%20William%20Vest-Lillesoe%20CROP.jpg;FALSCH;;MF_K_Lorentzen;;WAHR
Morten Bødskov;Q375980;http://commons.wikimedia.org/wiki/Special:FilePath/Morten%20B%C3%B8dskov%20220901.jpg;FALSCH;;mfMorten;;WAHR
Thomas Jensen;Q12339222;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Jensen%20-%20Socialdemokraterne.jpg;FALSCH;;MFThomasJensen;;WAHR
Michael Aastrup Jensen;Q1926743;http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Aastrup%20Jensen.jpg;FALSCH;;michaelaastrup;;WAHR
