name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Drahoslav Ryba;Q67141542;;WAHR;https://pbs.twimg.com/profile_images/1580910972067364865/n888prbT_normal.jpg;DrahoslavRyba;Poslanec Parlamentu ?eské republiky za Kraj Vyso?ina.;WAHR
Eva Decroix;Q108057136;;WAHR;https://pbs.twimg.com/profile_images/1450916163932856325/eyubeUqT_normal.jpg;eva_decroix;advokátka, mediátorka, poslankyn? a hlavn? š?astná máma a žena svého muže #VysocinaJeNejvic??;WAHR
Martin Exner;Q108872641;;WAHR;https://pbs.twimg.com/profile_images/1518994060849131523/ow5s7x13_normal.jpg;Exner_STAN;???? poslanec za STAN?, ???? eurofederalista €, ?????? liberální;WAHR
Kamal Farhan;Q42585412;;WAHR;https://pbs.twimg.com/profile_images/1492154614795407367/x7TnTSE5_normal.jpg;FarhanMUDr;;WAHR
Jaroslav Foldyna;Q12023788;http://commons.wikimedia.org/wiki/Special:FilePath/Praha%2C%20Nov%C3%A9%20M%C4%9Bsto%2C%20V%C3%A1clavsk%C3%A9%20n%C3%A1m%C4%9Bst%C3%AD%2C%20Kosovo%20je%20Srbsko%202010%2C%20Jaroslav%20Foldyna%20%28cropped%29.JPG;FALSCH;;FoldynaJaroslav;;
Helena Langsádlová;Q12019419;http://commons.wikimedia.org/wiki/Special:FilePath/Helena%20Lang%C5%A1%C3%A1dlov%C3%A1.jpg;FALSCH;;H_Langsadlova;;
Hayato Okamura;Q29346164;http://commons.wikimedia.org/wiki/Special:FilePath/Hayato%20Okamura%20%282019%29.jpg;FALSCH;;HayatoOkamura;;
Helena Válková;Q12019440;;FALSCH;;HelenaValkova;;
Simon Heller;Q15054216;;FALSCH;;hellersimon;;
Jan Bartosek;Q13561396;http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Barto%C5%A1ek%202015.JPG;FALSCH;;honzabartosek;;
Igor Hendrych;Q95083672;;WAHR;https://pbs.twimg.com/profile_images/1541393857102991362/qVTSMpGZ_normal.jpg;IgorHendrych;poslanec Parlamentu ?R za Moravskoslezský kraj a opavský patriot;WAHR
Radovan Vích;Q33133462;http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%ADch%20-2016.jpg http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%ADch%20-2016.jpg;FALSCH;;IngVich;;
Ivo Vondrák;Q1675808;http://commons.wikimedia.org/wiki/Special:FilePath/Ivo%20Vondr%C3%A1k.jpg;FALSCH;;ivondrak;;
Jirí Havránek;Q108872638;;WAHR;https://pbs.twimg.com/profile_images/1366395684623106053/Vd1f1fJ__normal.jpg;j_havranek;;WAHR
Jan Lacina;Q12022770;http://commons.wikimedia.org/wiki/Special:FilePath/Mgr.%20Jan%20Lacina.jpg;FALSCH;;j_lacina;;
Jakub Michálek;Q13578296;http://commons.wikimedia.org/wiki/Special:FilePath/Jakub%20Mich%C3%A1lek%204%20November%202020.jpg;FALSCH;;JakubMichalek19;;
Jan Jakob;Q39728392;http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Jakob.jpg;FALSCH;;Jan_Jakob;;
Jan Skopecek;Q15987373;http://commons.wikimedia.org/wiki/Special:FilePath/Skopecek%20%28cropped%29.jpg;FALSCH;;Jan_Skopecek;;
Jana Cernochová;Q12023473;http://commons.wikimedia.org/wiki/Special:FilePath/220421-D-BN624-0291%20%2852020611483%29%20%28cropped%29.jpg;FALSCH;;jana_cernochova;;
Jana Krutáková;Q35545152;;FALSCH;;janakrut;;
Jan Bures;Q12022439;;FALSCH;;janbures;;
