name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Michaël Taverne;Q112637395;http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Taverne.jpg;FALSCH;;TaverneMichael;;WAHR
Timothée Houssin;Q63313476;;FALSCH;;T_Houssin;;WAHR
Thomas Cazenave;Q28653600;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Cazenave%20-%20Candidat%20LREM%20aux%20%C3%A9lections%20municipales%20de%20Bordeaux%20en%202020.jpg;FALSCH;;T_Cazenave;;WAHR
Sylvain Maillard;Q30239185;http://commons.wikimedia.org/wiki/Special:FilePath/Sylvain-Maillard.jpg;FALSCH;;SylvainMaillard;;WAHR
Sylvain Carrière;Q112650404;;FALSCH;;Sylv20CARRIERE;;WAHR
Stéphane Travert;Q3502105;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phane%20Travert%2019059%20salle%204%20colonnes.jpg;FALSCH;;StTRAVERT;;WAHR
Stéphane Lenormand;Q56310930;;WAHR;https://pbs.twimg.com/profile_images/1544635320859254784/7sRWOt39_normal.jpg;StphaneLenorma1;Député de #SaintPierreEtMiquelon;WAHR
Steve Chailloux;Q112630808;;FALSCH;;steve_parakao;;WAHR
Stéphanie Kochert;Q63765634;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phanie%20Kochert.jpg;WAHR;https://pbs.twimg.com/profile_images/1577738740377829382/67TclhEH_normal.jpg;StephanieKoche6;Députée du Bas-Rhin, Conseillère d’Alsace;WAHR
Stéphanie Rist;Q30339281;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phanie%20Rist.jpg;FALSCH;;stephanie_rist;;WAHR
Stéphane Vojetta;Q108823633;;FALSCH;;StephaneVojetta;;WAHR
Stéphane Buchou;Q30342812;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phane%20Buchou%2002.jpg;FALSCH;;StephaneBuchou;;WAHR
Stéphane Peu;Q30380891;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phane%20Peu.jpg;FALSCH;;stephane1peu;;WAHR
Stella Dupont;Q30506490;http://commons.wikimedia.org/wiki/Special:FilePath/Stella%20Dupont.jpg;FALSCH;;stelladupont;;WAHR
Stanislas Guerini;Q30343112;http://commons.wikimedia.org/wiki/Special:FilePath/Stanislas%20guerini%20AN%2016475.JPG;FALSCH;;StanGuerini;;WAHR
Sophie Taillé-Polian;Q41075996;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Taill%C3%A9-Polian%20au%20S%C3%A9nat.png;FALSCH;;STaillePolian;;WAHR
Stéphane Rambaud;Q112651131;;FALSCH;;sRambaudRN;;WAHR
Sébastien Peytavie;Q112641851;;FALSCH;;speytavie;;WAHR
Sophie Panonacle;Q30505891;;FALSCH;;SPanonacle;;WAHR
Sophie Mette;Q30490415;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Mette%2C%20Guidel%202019.png;FALSCH;;SophieMette1;;WAHR
Sophie Errante;Q3490926;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Errante.jpg;FALSCH;;SophieErrante;;WAHR
Danielle Simonnet;Q20857507;http://commons.wikimedia.org/wiki/Special:FilePath/Danielle-Simmonet-20130927.jpg;FALSCH;;Simonnet2;;WAHR
Servane Hugues;Q112730739;;FALSCH;;ServaneHugues;;WAHR
Freddy Sertin;Q112670388;;WAHR;https://pbs.twimg.com/profile_images/1551509227054796801/_OKCNZ9h_normal.jpg;SertinFreddy;Député de la 6ème Circonscription du Calvados #Renaissance;WAHR
