name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Rebecca Schamber;Q108571846;http://commons.wikimedia.org/wiki/Special:FilePath/Rebecca%20Schamber%20%282021%29.jpg;WAHR;;;;WAHR
Uwe Schmidt;Q20243187;http://commons.wikimedia.org/wiki/Special:FilePath/Schmidt%2C%20Uwe-9166.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Uwe%20Schmidt%20%282021%29.jpg;WAHR;;;;WAHR
Christian Schreider;Q108758105;;WAHR;;;;WAHR
Detlef Seif;Q1201365;http://commons.wikimedia.org/wiki/Special:FilePath/Detlef%20Seif%202013.jpg;WAHR;;;;WAHR
Dieter Stier;Q1222886;http://commons.wikimedia.org/wiki/Special:FilePath/Stier%2C%20Dieter-9439.jpg;WAHR;;;;WAHR
Klaus Stöber;Q108760170;;WAHR;;;;WAHR
Diana Stöcker;Q108705694;;WAHR;;;;WAHR
Stephan Stracke;Q2343892;http://commons.wikimedia.org/wiki/Special:FilePath/Stephan%20Stracke%202013.jpg;WAHR;;;;WAHR
Max Straubinger;Q1366360;http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Straubinger%202012.jpg;WAHR;;;;WAHR
Claudia Tausend;Q15432230;http://commons.wikimedia.org/wiki/Special:FilePath/Tausend%2C%20Claudia-0591.jpg;WAHR;;;;WAHR
Hans-Jürgen Thies;Q41580479;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Hans-J%C3%BCrgen%20Thies%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%932.jpg;WAHR;;;;WAHR
Frank Ullrich;Q62639;http://commons.wikimedia.org/wiki/Special:FilePath/2021-09-26%20Wahlparty%20SPD%20Th%C3%BCringen%201DX%205782%20by%20Stepro.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Frank%20Ullrich%20%282021%29.jpg;WAHR;;;;WAHR
Alexander Ulrich;Q2643176;http://commons.wikimedia.org/wiki/Special:FilePath/2019-05-09%20Alexander%20Ulrich%20LINKE%20MdB%20by%20Olaf%20Kosinsky%201489.jpg;WAHR;;;;WAHR
Oliver Vogt;Q108760384;http://commons.wikimedia.org/wiki/Special:FilePath/Oliver.vogt.portrait%20%28cropped%29.jpg;WAHR;;;;WAHR
Sabine Weiss;Q2209971;http://commons.wikimedia.org/wiki/Special:FilePath/Sabine%20Weiss%202013.jpg;WAHR;;;;WAHR
Herbert Wollmann;Q108733445;http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Herbert%20Wollmann%20%282021%29.jpg;WAHR;;;;WAHR
Gülistan Yüksel;Q1560111;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-14%20Deutscher%20Bundestag%20IMG%203535%20by%20Stepro.jpg http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%BClistan%20Y%C3%BCksel%20%282021%29.jpg;WAHR;;;;WAHR
Emily Vontz;Q115728007;;WAHR;;;;WAHR
Artur Auernhammer;Q122011;http://commons.wikimedia.org/wiki/Special:FilePath/Artur%20Auernhammer%202018.jpg;FALSCH;;;;WAHR
Heike Baehrens;Q15114946;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Heike%20Baehrens%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%932.jpg;FALSCH;;;;WAHR
André Berghegger;Q13641202;http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Berghegger%202013.jpg;FALSCH;;;;WAHR
Marlon Bröhr;Q36313751;http://commons.wikimedia.org/wiki/Special:FilePath/Landrat%20Dr%20Marlon%20Br%C3%B6hr.jpg;FALSCH;;;;WAHR
Astrid Damerow;Q750543;http://commons.wikimedia.org/wiki/Special:FilePath/13-08-23-astrid-damerow-02.jpg;FALSCH;;;;WAHR
Esther Dilcher;Q40988876;http://commons.wikimedia.org/wiki/Special:FilePath/2020-10-29%20Esther%20Dilcher%20MdB%20SPD%20by%20OlafKosinsky%201945.jpg;FALSCH;;;;WAHR
Falko Droßmann;Q23063391;http://commons.wikimedia.org/wiki/Special:FilePath/Andy-Grote%20Falko-Dro%C3%9Fmann%20Markus-Schreiber%20%28cropped%29.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Falko%20Dro%C3%9Fmann%20%282021%29.jpg;FALSCH;;;;WAHR
Enak Ferlemann;Q1285697;http://commons.wikimedia.org/wiki/Special:FilePath/Spatenstich%20zum%20Neubau%20der%20Leverkusener%20Rheinbr%C3%BCcke-5804.jpg;FALSCH;;;;WAHR
Monika Grütters;Q1944642;http://commons.wikimedia.org/wiki/Special:FilePath/Monika%20Gruetters%202009.jpg;FALSCH;;;;WAHR
Robert Habeck;Q109943;http://commons.wikimedia.org/wiki/Special:FilePath/2021-12-07%20Unterzeichnung%20des%20Koalitionsvertrages%20der%2020.%20Wahlperiode%20des%20Bundestages%20by%20Sandro%20Halank%E2%80%93018%20%28cropped%29.jpg;FALSCH;;;;WAHR
Reginald Hanke;Q75097087;http://commons.wikimedia.org/wiki/Special:FilePath/Reginald%20Hanke%20MdB.jpeg;FALSCH;;;;WAHR
Ansgar Heveling;Q569717;http://commons.wikimedia.org/wiki/Special:FilePath/Ansgar%20Heveling%202012.jpg;FALSCH;;;;WAHR
Hendrik Hoppenstedt;Q1605046;http://commons.wikimedia.org/wiki/Special:FilePath/Hoppenstedt%2C%20Hendrik-0948.jpg;FALSCH;;;;WAHR
Erich Irlstorfer;Q15808359;http://commons.wikimedia.org/wiki/Special:FilePath/MK28200%20Erich%20Irlstorfer.jpg;FALSCH;;;;WAHR
Georg Kippels;Q15434294;http://commons.wikimedia.org/wiki/Special:FilePath/Georg%20Kippels%202013.jpg;FALSCH;;;;WAHR
Ina Latendorf;Q108756952;http://commons.wikimedia.org/wiki/Special:FilePath/Ina%20Latendorf%20%2851039730892%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
Mathias Middelberg;Q1908516;http://commons.wikimedia.org/wiki/Special:FilePath/Mathias%20Middelberg.jpg;FALSCH;;;;WAHR
Matthias David Mieves;Q108757269;http://commons.wikimedia.org/wiki/Special:FilePath/Matthias%20Mieves%20%282021%29.jpg;FALSCH;;;;WAHR
Siemtje Möller;Q40998750;http://commons.wikimedia.org/wiki/Special:FilePath/Siemtje%20M%C3%B6ller%20%282021%29.jpg;FALSCH;;;;WAHR
Petra Nicolaisen;Q2080285;http://commons.wikimedia.org/wiki/Special:FilePath/13-08-22-petra-nicolaisen-05.jpg;FALSCH;;;;WAHR
Wiebke Papenbrock;Q108757804;http://commons.wikimedia.org/wiki/Special:FilePath/Wiebke%20Papenbrock%20CO%20Juliane%20Kiefer.jpg;FALSCH;;;;WAHR
Josef Rief;Q1321994;http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Rief%202009.jpg;FALSCH;;;;WAHR
Peggy Schierenbeck;Q108758050;http://commons.wikimedia.org/wiki/Special:FilePath/Peggy%20Schierenbeck%20%282021%29.jpg;FALSCH;;;;WAHR
Timo Schisanowski;Q108703301;http://commons.wikimedia.org/wiki/Special:FilePath/Timo%20Schisanowski%20Wahlkampf%20Ennepetal-Voerde.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Timo%20Schisanowski%20%282021%29.jpg;FALSCH;;;;WAHR
Hermann-Josef Tebroke;Q1610440;http://commons.wikimedia.org/wiki/Special:FilePath/Tebroke%202013-05-23.JPG;FALSCH;;;;WAHR
Astrid Timmermann-Fechter;Q15784254;;FALSCH;;;;WAHR
Melanie Wegling;Q108760515;http://commons.wikimedia.org/wiki/Special:FilePath/Melanie%20Wegling%20%282021%29.jpg;FALSCH;;;;WAHR
Klaus-Peter Willsch;Q101504;http://commons.wikimedia.org/wiki/Special:FilePath/Willsch-800.jpg;FALSCH;;;;WAHR
Mechthilde Wittmann;Q15834662;;FALSCH;;;;WAHR
Emmi Zeulner;Q6578572;http://commons.wikimedia.org/wiki/Special:FilePath/Emmi%20Zeulner%202013.jpg;FALSCH;;;;WAHR
Katrin Zschau;Q108760646;http://commons.wikimedia.org/wiki/Special:FilePath/Katrin%20Zschau%20%282021%29.jpg;FALSCH;;;;WAHR
Bettina Müller;Q15792684;;FALSCH;;;;WAHR
Luiza Licina-Bode;Q108756989;http://commons.wikimedia.org/wiki/Special:FilePath/Luiza%20Licina-Bode%20%282021%29.jpg;FALSCH;;;;WAHR
Dagmar Andres;Q1157242;http://commons.wikimedia.org/wiki/Special:FilePath/Dagmar%20Andres%20%28Martin%20Rulsch%29%202.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Dagmar%20Andres.jpg;FALSCH;;;;WAHR
Dennis Rohde;Q15613500;http://commons.wikimedia.org/wiki/Special:FilePath/Rohde%2C%20Dennis-0928.jpg;FALSCH;;;;WAHR
Dirk Heidenblut;Q15806072;http://commons.wikimedia.org/wiki/Special:FilePath/Heidenblut%2C%20Dirk-8981.jpg;FALSCH;;;;WAHR
Rolf Mützenich;Q2163668;http://commons.wikimedia.org/wiki/Special:FilePath/Rolf%20M%C3%BCtzenich.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Rolf%20M%C3%BCtzenich%20%282021%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1590981873857138688/M4x97-Hu_normal.jpg;;;WAHR
