name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Jean-Paul Dufrègne;Q3168469;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Dufr%C3%A8gne%202018.jpg;FALSCH;;JP_Dufregne;;WAHR
Jean-Paul Lecoq;Q602146;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Lecoq%20%28cropped%29.jpg;WAHR;;;;WAHR
Jean-Paul Mattei;Q30378193;;FALSCH;;jp_mattei;;WAHR
Jean-Philippe Ardouin;Q30345412;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Philippe%20Ardouin.jpg;FALSCH;;jean_ardouin;;WAHR
Jean-Philippe Nilor;Q3168847;;WAHR;https://pbs.twimg.com/profile_images/1592560649074352136/CnQhYgoE_normal.jpg;jp_nilor;Député de Martinique,;WAHR
Jean-Pierre Cubertafon;Q30339347;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Cubertafon%204colonnes%2019192.jpg;FALSCH;;dep_cubertafon;;WAHR
Jean-Pierre Door;Q3169226;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Door.JPG;FALSCH;;doorjean;;WAHR
Jean-Pierre Pont;Q3169663;;FALSCH;;JeanPierrePont;;WAHR
Jean-Pierre Vigier;Q3169815;;FALSCH;;J_PVigier;;WAHR
Jean-René Cazeneuve;Q30417849;http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Jean-Ren%C3%A9%20Cazeneuve.jpg;FALSCH;;jrcazeneuve;;WAHR
Jean-Yves Bony;Q3170101;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Yves%20Bony.jpg;WAHR;;;;WAHR
Jennifer de Temmerman;Q30335908;http://commons.wikimedia.org/wiki/Special:FilePath/Jennifer%20de%20Temmerman%2002.jpg;FALSCH;;JDetemmerman;;WAHR
Jérôme Lambert;Q2385796;;FALSCH;;jeromelambert16;;WAHR
Jérôme Nury;Q28496177;http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%B4me%20Nury%2002.jpg;FALSCH;;jeromenury;;WAHR
Jimmy Pahun;Q3179100;http://commons.wikimedia.org/wiki/Special:FilePath/FIL%202017%20-%20Jimmy%20Pahun%20-%208449.jpg;FALSCH;;JimmyPahun;;WAHR
Joachim Son-Forget;Q30343074;http://commons.wikimedia.org/wiki/Special:FilePath/Joachim%20Son-Forget%2016312%20%28cropped%29.jpg;FALSCH;;;;WAHR
Joël Aviragnet;Q17350680;http://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%ABl%20Aviragnet%2004.jpg;FALSCH;;JAviragnet;;WAHR
Josette Manin;Q3185939;;WAHR;;;;WAHR
Josiane Corneloup;Q30392574;http://commons.wikimedia.org/wiki/Special:FilePath/Josiane%20Corneloup.jpg;FALSCH;;J_Corneloup;;WAHR
Josy Poueyto;Q30343078;http://commons.wikimedia.org/wiki/Special:FilePath/Josy%20Poueyto.jpg;FALSCH;;josypoueyto;;WAHR
Julien Aubert;Q1457778;http://commons.wikimedia.org/wiki/Special:FilePath/Julien%20Aubert%20d%C3%A9put%C3%A9%20%28cropped%29.jpg;FALSCH;;julienaubert84;;WAHR
Julien Borowczyk;Q30349208;http://commons.wikimedia.org/wiki/Special:FilePath/Julien%20Borowczyk%2002.jpg;FALSCH;;JulienBorowczyk;;WAHR
Julien Dive;Q23374860;http://commons.wikimedia.org/wiki/Special:FilePath/Julien%20Dive.jpg;FALSCH;;JulienDive;;WAHR
Justine Benin;Q30342954;http://commons.wikimedia.org/wiki/Special:FilePath/Justine%20B%C3%A9nin.jpg;FALSCH;;Justine_BENIN;;WAHR
Karine Lebon;Q99670641;http://commons.wikimedia.org/wiki/Special:FilePath/Mme%20Karine%20Lebon.jpg;FALSCH;;KarineLebon;;WAHR
Lætitia Avia;Q30339351;http://commons.wikimedia.org/wiki/Special:FilePath/Laetitia%20avia%20AN%2016441.JPG;FALSCH;;LaetitiaAvia;;WAHR
Laëtitia Romeiro Dias;Q30388588;;FALSCH;;Romeiro1L;;WAHR
Laëtitia Saint-Paul;Q30389297;http://commons.wikimedia.org/wiki/Special:FilePath/Laetitia%20Saint%20Paul%20-%20Saumur.jpg;FALSCH;;l_saintpaul;;WAHR
Lamia El Aaraje;Q106291673;;FALSCH;;lamiaela;;WAHR
Laure de La Raudière;Q3218809;http://commons.wikimedia.org/wiki/Special:FilePath/Laure%20de%20la%20Raudi%C3%A8re.jpg;FALSCH;;lauredlr;;WAHR
Laurence Dumont;Q2271318;http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Laurence%20Dumont2.jpg;FALSCH;;ldumontdeputee;;WAHR
Laurence Gayte;Q30229438;http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Gayte.jpg;FALSCH;;LaurenceGayte;;WAHR
Laurence Maillart-Méhaignerie;Q30334244;http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Maillart-M%C3%A9haignerie.jpg;FALSCH;;LMaillart;;WAHR
Laurence Trastour-Isnart;Q30339238;http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Trastour-Isnart.jpg;FALSCH;;TrastourIsnart;;WAHR
Laurence Vanceunebrock-Mialon;Q30335035;http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Vanceunebrock-Mialon.jpg;FALSCH;;LaurenceVanceu;;WAHR
Laurence Vichnievsky;Q281455;http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Vichnievsky.jpg;FALSCH;;LVichnievsky;;WAHR
Laurent Garcia;Q30349328;http://commons.wikimedia.org/wiki/Special:FilePath/Laurent%20Garcia.jpg;FALSCH;;GarciaLaxou;;WAHR
Laurent Saint-Martin;Q30512608;http://commons.wikimedia.org/wiki/Special:FilePath/Laurent-Saint-Martin.jpg;FALSCH;;LauStmartin;;WAHR
Laurianne Rossi;Q30337015;http://commons.wikimedia.org/wiki/Special:FilePath/Laurianne%20Rossi.jpg;FALSCH;;lauriannerossi;;WAHR
Lénaïck Adam;Q30331583;http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9na%C3%AFck%20Adam%2002.jpg;FALSCH;;LenaickADAM;;WAHR
Liliane Tanguy;Q30339307;http://commons.wikimedia.org/wiki/Special:FilePath/Liliane%20Tanguy.jpg;FALSCH;;LilianeTang;;WAHR
Lionel Causse;Q30342869;http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20causse.jpg;FALSCH;;DeputeCausse;;WAHR
Lise Magnier;Q30377001;;FALSCH;;lise_magnier;;WAHR
Loïc Dombreval;Q30339206;http://commons.wikimedia.org/wiki/Special:FilePath/Loic%20banniere.jpg;FALSCH;;LoicDombreval;;WAHR
Loïc Kervran;Q30339229;http://commons.wikimedia.org/wiki/Special:FilePath/Lo%C3%AFc%20Kervran.jpg;FALSCH;;LoicKervran18;;WAHR
Loïc Prud’homme;Q30339287;http://commons.wikimedia.org/wiki/Special:FilePath/Lo%C3%AFc%20Prud%27homme.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Lo%C3%AFc%20Prud%27homme.jpg;FALSCH;;PrudhommeLoic;;WAHR
Louis Aliot;Q3261014;http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Aliot%202015%2002%20%28cropped%29%20%28cropped%29.jpg;FALSCH;;louis_aliot;;WAHR
Luc Geismar;Q97704796;http://commons.wikimedia.org/wiki/Special:FilePath/20-LUC-GEISMAR-shooting-2-9373-r.jpg;FALSCH;;GeismarLuc;;WAHR
Luc Lamirault;Q63765672;;FALSCH;;LamiraultLuc;;WAHR
Ludovic Loquet;Q63763416;;FALSCH;;LoquetLudovic;;WAHR
Ludovic Mendes;Q30525139;http://commons.wikimedia.org/wiki/Special:FilePath/Ludovic%20Mendes%20%C3%A0%20l%27Assembl%C3%A9e%20nationale.jpg;FALSCH;;ludovicMDS;;WAHR
Maina Sage;Q17350905;http://commons.wikimedia.org/wiki/Special:FilePath/Maina%20Sage.jpg;FALSCH;;MainaSage;;WAHR
Mansour Kamardine;Q3286565;;FALSCH;;Kamardine_M;;WAHR
Manuéla Kéclard-Mondésir;Q54415314;;FALSCH;;KeclardManuela;;WAHR
Marc Delatte;Q30339126;;FALSCH;;MarcDelatte;;WAHR
Marc Le Fur;Q3288193;http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Marc%20Le%20Fur.jpg;FALSCH;;marclefur;;WAHR
Marguerite Deprez-Audebert;Q30450097;http://commons.wikimedia.org/wiki/Special:FilePath/Marguerite%20Deprez%20Audebert.jpg;FALSCH;;MDeprezAudebert;;WAHR
Marianne Dubois;Q3291298;http://commons.wikimedia.org/wiki/Special:FilePath/Marianne%20Dubois%20%C3%A9lys%C3%A9e.png;FALSCH;;duboismarianne;;WAHR
Marie Guévenoux;Q3292560;http://commons.wikimedia.org/wiki/Special:FilePath/Gu%C3%A9venoux%20-%20Evry%20-%202018-10-09%20-%20IMG%209319.jpg;FALSCH;;mguevenoux;;WAHR
Marie Lebec;Q30336075;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Lebec.jpg;FALSCH;;MarieLebec78;;WAHR
Marie Silin;Q97704921;http://commons.wikimedia.org/wiki/Special:FilePath/Mariesilin.jpg;FALSCH;;mariesilin;;WAHR
Marie Tamarelle-Verhaeghe;Q30389524;;FALSCH;;marietamarelle;;WAHR
Marie-Ange Magne;Q30376809;;FALSCH;;MarieAngeMagne;;WAHR
Marie-Christine Dalloz;Q3291640;;WAHR;;;;WAHR
Marie-Christine Verdier-Jouclas;Q30342475;http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Marie-Christine%20Verdier-Jouclas.jpg;FALSCH;;VerdierJouclas;;WAHR
Marie-France Lorho;Q37946793;http://commons.wikimedia.org/wiki/Special:FilePath/Congr%C3%A8s%20UD%2084%20Don%20du%20Sang%20-%20Marie%20France%20Lorho%202.jpg;FALSCH;;FranceLorho;;WAHR
Marie-George Buffet;Q464029;http://commons.wikimedia.org/wiki/Special:FilePath/Marie-George%20Buffet%20en%202012.jpg;WAHR;;;;WAHR
Marie-Noëlle Battistel;Q3292159;;FALSCH;;BattistelMarie;;WAHR
Marie-Pierre Rixain;Q30388327;http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Pierre%20Rixain%2002.jpg;FALSCH;;RixainMP;;WAHR
