name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Alicia García Rodríguez;Q22999280;http://commons.wikimedia.org/wiki/Special:FilePath/Alicia%20Garc%C3%ADa%20Rodr%C3%ADguez%202013%20by%20%C3%81ngel%20Cantero%20%28cropped%29%20%28cropped%29.jpg;FALSCH;;AliciaGarcia_Av;;WAHR
Ana Botella Gómez;Q431461;http://commons.wikimedia.org/wiki/Special:FilePath/%28Ana%20Botella%29%20Homenaje%20a%20las%20mujeres%20de%20la%20Polic%C3%ADa%20Nacional%2002%20%28cropped%29.jpg;FALSCH;;AnaBotellaPSOE;;WAHR
Ana Belén Vázquez;Q12382952;http://commons.wikimedia.org/wiki/Special:FilePath/%28Ana%20Bel%C3%A9n%20V%C3%A1zquez%20Blanco%29%20Constituci%C3%B3n%20comisi%C3%B3n%20modelo%20policial1.jpg;FALSCH;;anadebande;;WAHR
Ana Pastor Julián;Q433215;http://commons.wikimedia.org/wiki/Special:FilePath/%28Ana%20Pastor%29%20Desayuno%20Informativo%20Nueva%20Econom%C3%ADa%20Forum%202017%20%2838208523502%29%20%28cropped%29.jpg;FALSCH;;anapastorjulian;;WAHR
Ana Prieto;Q65275040;;FALSCH;;anaprietonieto;;WAHR
Ana María Zurita Expósito;Q27755679;http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Mar%C3%ADa%20Zurita%20Exp%C3%B3sito%20%28cropped%29.jpg;FALSCH;;AnaZurita7;;WAHR
Andrés Lorite Lorite;Q66663449;;FALSCH;;AndresLorite;;WAHR
María Ángeles Marra Domínguez;Q66663457;;FALSCH;;AngelesMarra;;WAHR
Ángel Luis González Muñoz;Q27755573;;FALSCH;;angeluisgonza;;WAHR
Omar Anguita;Q62589840;http://commons.wikimedia.org/wiki/Special:FilePath/%28Omar%20Anguita%29%20Fiesta%20de%20la%20Rosa%202018%20de%20los%20Socialistas%20Vascos.jpg;FALSCH;;anguitaomar;;WAHR
Ana Oramas;Q8198110;http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Oramas.jpg;FALSCH;;anioramas;;WAHR
Antidio Fagúndez Campo;Q81769140;;FALSCH;;antidiof;;WAHR
Antón Gómez-Reino;Q21857951;http://commons.wikimedia.org/wiki/Special:FilePath/%28Tone%20G%C3%B3mez-Reino%29%20Por%20una%20PAC%20m%C3%A1s%20justa.%20Tone%20G%C3%B3mez-Reino..jpg http://commons.wikimedia.org/wiki/Special:FilePath/%28Tone%20G%C3%B3mez-Reino%29%20Por%20una%20PAC%20m%C3%A1s%20justa.%20Tone%20G%C3%B3mez-Reino..jpg;FALSCH;;AntonGomezReino;;WAHR
Antonia Jover Díaz;Q66663439;;FALSCH;;Antonia_jover_;;WAHR
Antonio Hurtado Zurera;Q5698658;http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Hurtado%20Zurera.jpg;FALSCH;;AntonioHurtado;;WAHR
Francisco Aranda Vargas;Q62027401;;FALSCH;;arandapaco;;WAHR
Ariagona González Pérez;Q66663428;;FALSCH;;ariagonagp;;WAHR
Arnau Ramírez Carner;Q62574792;;FALSCH;;arnauramirez;;WAHR
Manuel Arribas;Q106307248;;FALSCH;;ArribasManuel;;WAHR
Antonio Salvá Verd;Q74579110;;FALSCH;;asalvav;;WAHR
Alfredo Sancho Guardia;Q14084448;;FALSCH;;asanchog;;WAHR
Pedro Duque;Q448547;http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Duque-detail.jpg;FALSCH;;astro_duque;;WAHR
María Auxiliadora Pérez Díaz;Q30727238;;FALSCH;;AuxiPD;;WAHR
Edmundo Bal Francés;Q63861758;http://commons.wikimedia.org/wiki/Special:FilePath/2021-06-13%20EdmundoBalEnCibeles%20%28cropped%29.jpg;FALSCH;;BalEdmundo;;WAHR
Montse Bassa;Q62007391;http://commons.wikimedia.org/wiki/Special:FilePath/L%27autodeterminaci%C3%B3%20no%20%C3%A9s%20delicte%2015.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Montse%20Bassa%20with%20journalists%20%28cropped%29.jpg;FALSCH;;BassaMontse;;WAHR
Beatriz Álvarez Fanjul;Q81764989;http://commons.wikimedia.org/wiki/Special:FilePath/Bea%20Fanjul%20%28Beatriz%20Isabel%20%C3%81lvarez%20Fanjul%29.jpg;FALSCH;;bea_fanjul;;WAHR
Beatriz Carrillo;Q66116008;http://commons.wikimedia.org/wiki/Special:FilePath/%28Beatriz%20Carrillo%29%20Entrevista%20a%20Beatriz%20Carrillo.%20Presidenta%20de%20AMURADI.jpg;FALSCH;;beamcarrillo;;WAHR
Begoña Nasarre Oliva;Q27999286;;FALSCH;;Begonasarre;;WAHR
Belén Fernández Casero;Q65275034;http://commons.wikimedia.org/wiki/Special:FilePath/%28Bel%C3%A9n%20Fern%C3%A1ndez%20Casero%29%20Acto%20Igualdad%20en%20C%C3%A1ceres%20%2833818208238%29%20%28cropped%29.jpg;FALSCH;;belenfcasero;;WAHR
Belén Hoyo;Q12156127;http://commons.wikimedia.org/wiki/Special:FilePath/Bel%C3%A9n%20Hoyo%20en%20la%20Comisi%C3%B3n%20Constitucional%20en%202018.jpg;FALSCH;;BelenHoyo;;WAHR
Maribel García López;Q66663420;;FALSCH;;belitagl;;WAHR
Isabel Borrego Cortés;Q21001117;http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20Borrego%2C%20Secretary%20of%20State%20for%20Tourism%2C%20Spain%20%2817165066792%29.jpg;FALSCH;;borrego_corte;;WAHR
Jose Luis Bueno Pinto;Q24567384;http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Antonio%20Delgado%20Ramos.jpg;FALSCH;;buenopin;;WAHR
Helena Caballero Gutiérrez;Q66663387;;FALSCH;;Caballerohelena;;WAHR
Joan Capdevila i Esteve;Q22337880;http://commons.wikimedia.org/wiki/Special:FilePath/ActeERC%20Joan%20Capdevila%20Esteve%200003.jpg;FALSCH;;capdevilajoan;;WAHR
Carlos Rojas García;Q5751614;http://commons.wikimedia.org/wiki/Special:FilePath/%28Carlos%20Rojas%29%2013.04.08%20Reuni%C3%B3n%20en%20el%20Parlamento.jpg;FALSCH;;CarlosRojas_PPA;;WAHR
Carmen Baños Ruiz;Q66498531;;FALSCH;;carmen_banos;;WAHR
Carmen Andrés Añón;Q14948188;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Andr%C3%A9s.jpg;FALSCH;;carmenandres_;;WAHR
Carmen Calvo Poyato;Q2614472;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Calvo%202020%20%28portrait%29.jpg;FALSCH;;carmencalvo_;;WAHR
María del Carmen González Guinda;Q27755804;;FALSCH;;CarmenGGuinda;;WAHR
María Carmen Riolobos Regadera;Q28502373;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Riolobos.jpg;FALSCH;;CarmenRiolobos;;WAHR
Carolina España Reina;Q27755547;;FALSCH;;CarolinaEspanaR;;WAHR
Carolina Telechea i Lozano;Q55767141;;FALSCH;;caroltelechea;;WAHR
Elena Castillo López;Q81765009;;FALSCH;;ElenaCastilloPP;;WAHR
Cayetana Álvarez de Toledo;Q16297359;http://commons.wikimedia.org/wiki/Special:FilePath/%28Cayetana%20%C3%81lvarez%20de%20Toledo%29%20Presentaci%C3%B3n%20de%20los%20n%C3%BAmero%201%20al%20congreso%20por%20cada%20provincia.%20%2846489997335%29%20%28cropped%29.jpg;FALSCH;;cayetanaAT;;WAHR
Celso Delgado;Q12385903;http://commons.wikimedia.org/wiki/Special:FilePath/Celso%20Luis%20Delgado%20Arce.jpg;FALSCH;;CelsoDelgadoOU;;WAHR
César Ramos Esteban;Q26162484;http://commons.wikimedia.org/wiki/Special:FilePath/Cesar%20Ramos.jpg;FALSCH;;CesarJRamos;;WAHR
María del Carmen Navarro Lacoba;Q27032053;;FALSCH;;CnLacoba;;WAHR
Concepció Cañadell i Salvia;Q80082826;;FALSCH;;conceptermens;;WAHR
Cristina Alicia Esteban Calonje;Q66663410;;FALSCH;;CrisEstebanVox;;WAHR
Cristina López Zamora;Q66498271;;FALSCH;;CristinaLpezZa1;;WAHR
Carmelo Romero Hernández;Q14084185;;FALSCH;;cromeroher;;WAHR
Juan Cuatrecasas Asua;Q66663404;;FALSCH;;CuatrecasasJuan;;WAHR
Cuca Gamarra;Q2223490;http://commons.wikimedia.org/wiki/Special:FilePath/%28Cuca%20Gamarra%29%20Reuni%C3%B3n%20Foro%20Social%20Partido%20Popular%20en%20sede%20distrito%20Salamanca%20contra%20la%20violencia%20de%20g%C3%A9nero.%20%2832112696948%29%20%28cropped%29.jpg;FALSCH;;cucagamarra;;WAHR
Carlos Zambrano García-Raez;Q74579116;;FALSCH;;czambranogr;;WAHR
Daniel Senderos Oraá;Q89189637;;FALSCH;;danielsenderos;;WAHR
Diego Gago;Q28911979;http://commons.wikimedia.org/wiki/Special:FilePath/DiegoGagoBugar%C3%ADn.jpg;FALSCH;;DiegoGagoB;;WAHR
Diego Movellán;Q14085515;http://commons.wikimedia.org/wiki/Special:FilePath/Rueda%20de%20prensa%20de%20Diego%20Movell%C3%A1n%20%28cropped%29.jpg;FALSCH;;DiegoMovellan;;WAHR
Diego Taibo Monelos;Q115985798;;FALSCH;;diegotaibopsoe;;WAHR
